index,CH1
1732,-3.5
1733,-4.5
1734,-3.5
1735,-3.5
1736,-0.5
1737,4.5
1738,8.5
1739,7.5
1740,-0.5
1741,-1.5
1742,-1.5
1743,-1.5
1744,-10.5
1745,-3.5
1746,3.5
1747,6.5
1748,15.5
1749,10.5
1750,4.5
1751,0.5
1752,-3.5
1753,-9.5
1754,-4.5
1755,-4.5
1756,0.5
1757,3.5
1758,9.5
1759,0.5
1760,-1.5
1761,0.5
1762,-0.5
1763,-13.5
1764,-5.5
1765,-4.5
1766,1.5
1767,2.5
1768,10.5
1769,5.5
1770,7.5
1771,2.5
1772,-3.5
1773,-12.5
1774,-9.5
1775,-30.5
1776,-5.5
1777,4.5
1778,10.5
1779,6.5
1780,6.5
1781,-5.5
1782,-1.5
1783,-6.5
1784,-8.5
1785,-7.5
1786,1.5
1787,-1.5
1788,13.5
1789,15.5
1790,9.5
1791,-1.5
1792,2.5
1793,-7.5
1794,-17.5
1795,12.5
1796,0.5
1797,-3.5
1798,7.5
1799,1.5
1800,6.5
1801,-6.5
1802,4.5
1803,-8.5
1804,4.5
1805,-3.5
1806,2.5
1807,6.5
1808,6.5
1809,-6.5
1810,2.5
1811,3.5
1812,-9.5
1813,-9.5
1814,-9.5
1815,-3.5
1816,1.5
1817,-1.5
1818,5.5
1819,-17.5
1820,-12.5
1821,-6.5
1822,-4.5
1823,-5.5
1824,-7.5
1825,-3.5
1826,-3.5
1827,2.5
1828,6.5
1829,7.5
1830,12.5
1831,5.5
1832,-1.5
1833,-3.5
1834,-6.5
1835,-5.5
1836,1.5
1837,-0.5
1838,7.5
1839,7.5
1840,8.5
1841,6.5
1842,-6.5
1843,-4.5
1844,-4.5
1845,-1.5
1846,-0.5
1847,12.5
1848,-1.5
1849,6.5
1850,2.5
1851,5.5
1852,-4.5
1853,-7.5
1854,-6.5
1855,-3.5
1856,-1.5
1857,1.5
1858,15.5
1859,7.5
1860,4.5
1861,-4.5
1862,-8.5
1863,-6.5
1864,-9.5
1865,-6.5
1866,-3.5
1867,-0.5
1868,5.5
1869,7.5
1870,5.5
1871,1.5
1872,-3.5
1873,-22.5
1874,-6.5
1875,4.5
1876,1.5
1877,1.5
1878,6.5
1879,3.5
1880,8.5
1881,1.5
1882,0.5
1883,1.5
1884,-3.5
1885,-6.5
1886,-1.5
1887,7.5
1888,0.5
1889,13.5
1890,-1.5
1891,0.5
1892,-1.5
1893,0.5
1894,10.5
1895,-3.5
1896,-0.5
1897,2.5
1898,7.5
1899,9.5
1900,1.5
1901,3.5
1902,-12.5
1903,-7.5
1904,-14.5
1905,-3.5
1906,-1.5
1907,1.5
1908,3.5
1909,4.5
1910,4.5
1911,-0.5
1912,-3.5
1913,-8.5
1914,1.5
1915,-3.5
1916,1.5
1917,4.5
1918,5.5
1919,10.5
1920,-8.5
1921,5.5
1922,-0.5
1923,-12.5
1924,-8.5
1925,-9.5
1926,-3.5
1927,-1.5
1928,6.5
1929,-3.5
1930,25.5
1931,-1.5
1932,-7.5
1933,-10.5
1934,-7.5
1935,-3.5
1936,-1.5
1937,2.5
1938,9.5
1939,9.5
1940,4.5
1941,-1.5
1942,-1.5
1943,-7.5
1944,-4.5
1945,-3.5
1946,5.5
1947,1.5
1948,6.5
1949,6.5
1950,6.5
1951,-3.5
1952,-3.5
1953,-5.5
1954,-6.5
1955,-4.5
1956,0.5
1957,5.5
1958,7.5
1959,6.5
1960,1.5
1961,1.5
1962,-0.5
1963,-3.5
1964,-5.5
1965,-1.5
1966,3.5
1967,2.5
1968,6.5
1969,6.5
1970,1.5
1971,-3.5
1972,-3.5
1973,-4.5
1974,-6.5
1975,-3.5
1976,-1.5
1977,2.5
1978,7.5
1979,13.5
1980,1.5
1981,-7.5
1982,1.5
1983,-4.5
1984,-4.5
1985,-4.5
1986,-7.5
1987,1.5
1988,7.5
1989,6.5
1990,1.5
1991,-1.5
1992,-3.5
